location,occupation,certification,age,gender,type,availability,minimumWage,experience,clientsAttended,doorstepService ,references,liscenced,shoppingliscence
6,18,1,1,1,0,3,2,2,1,1,1,0,0
10,18,1,0,1,0,3,0,0,0,1,0,1,0
6,18,1,2,1,0,3,0,1,0,1,0,0,0
3,18,0,2,1,0,3,0,2,1,1,1,0,1
29,18,0,3,1,0,3,0,1,0,1,1,0,0
0,18,0,3,1,0,3,0,1,0,1,1,0,1
32,18,1,1,1,0,3,0,2,1,1,1,0,0
17,18,0,0,1,0,3,0,1,0,1,1,0,0
8,18,0,0,1,0,3,0,2,1,1,0,0,0
24,18,1,0,1,1,2,0,1,0,1,1,0,0
11,18,1,0,1,0,3,0,1,0,1,1,1,1
8,18,0,3,1,1,1,0,0,0,1,0,0,0
7,18,1,2,1,1,2,0,1,0,1,0,0,0
4,18,0,3,1,0,3,1,2,1,1,1,0,0
1,18,0,0,1,0,3,0,1,0,1,0,0,1
5,18,1,1,1,0,3,0,1,0,1,1,1,0
12,18,1,1,1,1,1,0,1,0,1,0,1,1
10,18,1,0,1,1,1,1,2,1,1,1,0,0
8,18,0,3,1,1,0,0,1,0,1,1,0,0
6,18,1,3,1,0,3,2,2,1,1,1,0,1
5,18,0,2,1,1,1,0,1,0,1,1,0,0
16,18,0,2,1,1,2,1,1,1,1,1,0,0
31,18,1,2,1,1,2,0,0,0,1,0,1,0
33,18,0,0,1,0,3,0,2,1,1,1,0,0
13,18,1,3,1,0,3,1,2,1,1,0,1,0
9,18,1,1,1,0,3,0,1,0,1,1,0,1
7,18,1,3,1,1,1,1,1,1,1,1,0,0
2,18,1,1,1,0,3,2,2,1,1,1,0,1
16,18,0,1,1,1,2,0,1,0,1,1,0,1
27,18,0,2,1,0,3,1,2,1,1,1,0,1
10,18,0,1,1,0,3,2,2,1,1,0,0,0
8,18,1,3,1,1,0,1,2,1,1,1,0,0
40,18,1,3,1,0,3,2,2,1,1,0,1,1
3,18,0,3,1,0,3,0,1,0,1,0,0,0
17,18,0,2,1,1,2,2,2,1,1,1,0,1
11,18,0,1,1,1,1,0,1,0,1,0,0,0
9,18,1,0,1,1,2,0,1,0,1,1,0,1
4,18,1,1,1,1,0,2,2,1,1,0,0,0
6,18,0,3,1,1,1,1,2,1,1,0,0,1
18,18,0,2,1,1,1,1,1,1,1,1,0,0
12,18,0,2,1,0,3,0,1,0,1,0,0,0
10,18,0,3,1,1,0,2,2,1,1,0,0,1
6,18,0,0,1,0,3,2,2,1,1,1,0,1
24,18,1,2,1,1,1,0,0,0,1,0,1,0
31,18,0,3,1,0,3,2,1,1,1,0,0,1
19,18,0,4,1,0,3,1,2,1,1,1,0,0
13,18,1,1,1,0,3,0,2,1,1,0,0,0
11,18,1,0,1,0,3,0,0,0,1,0,0,0
41,18,1,3,1,0,3,1,2,1,1,1,0,0
25,18,1,3,1,1,2,1,2,1,1,1,0,0
7,18,1,1,1,1,0,0,2,1,1,1,0,0
14,18,0,4,1,0,3,0,1,0,1,0,0,1
20,18,1,3,1,0,3,1,1,1,1,0,1,1
41,18,1,3,1,1,1,2,1,1,1,1,1,1
16,18,0,0,1,0,3,0,1,0,1,1,0,0
12,18,1,1,1,1,2,0,2,1,1,1,0,0
8,18,0,3,1,1,0,1,2,1,1,1,0,0
7,18,1,3,1,0,3,2,2,1,1,0,0,0
25,18,1,2,1,0,3,2,2,1,1,0,0,1
21,18,1,3,1,0,3,0,1,0,1,1,1,1
7,18,0,0,1,1,2,0,2,1,1,0,0,0
17,18,0,3,1,1,0,1,2,1,1,0,0,1
13,18,0,3,1,0,3,2,2,1,1,0,0,0
